NUMLS;SOB;TARTO;SUMTO;SUMTO_check;PROBLEM_FLAG
40069830;32.1;34.54;1108.73;1108.73;0
40069838;50.8;34.54;1754.63;1754.63;0
40069899;57.7;34.54;1992.96;1992.96;0
40068267;59.9;44.79;2682.92;2682.92;0
40020625;44.4;34.54;1533.58;1533.58;0
40069991;46.6;44.79;2087.21;2087.21;0
40069443;61.2;44.79;2741.15;2741.15;0
40069914;49.0;34.54;1692.46;1692.46;0
40068331;30.4;34.54;1050.02;1050.02;0
40069611;68.7;44.79;3077.07;3077.07;0
40069665;37.1;44.79;1661.71;1661.71;0
40068628;35.7;29.99;1070.64;1070.64;0
40010621;47.4;44.79;2123.05;2123.05;0
40010682;68.3;44.79;3059.16;3059.16;0
40020606;88.9;34.54;3070.61;3070.61;0
40069098;47.9;34.54;1654.47;1654.47;0
40036863;69.5;44.79;3112.91;3112.91;0
40068624;37.4;29.99;1121.63;1121.63;0
40069565;67.7;44.79;3032.28;3032.28;0
40020616;48.9;34.54;1689.01;1689.01;0
40036854;52.6;44.79;2355.95;2355.95;0
40020545;57.5;34.54;1986.05;1986.05;0
40069033;48.3;34.54;1668.28;1668.28;0
40068768;40.6;34.54;1402.32;1402.32;0
40069392;48.9;44.79;2190.23;2190.23;0
40013295;53.4;34.54;1844.44;1844.44;0
40068217;28.9;34.54;998.21;998.21;0
40068276;61.1;44.79;2736.67;2736.67;0
40068369;40.3;34.54;1391.96;1391.96;0
40068970;30.2;34.54;1043.11;1043.11;0
40069386;48.4;44.79;2167.84;2167.84;0
40069761;37.7;44.79;1688.58;1688.58;0
40069735;52.7;44.79;2360.43;2360.43;0
40068966;61.5;34.54;2124.21;2124.21;0
40070034;59.0;44.79;2642.61;2642.61;0
40068687;30.3;34.54;1046.56;1046.56;0
40069551;51.2;44.79;2293.25;2293.25;0
40020513;51.3;34.54;1771.9;1771.9;0
40068326;47.6;44.79;2132.0;2132.0;0
40069813;57.1;34.54;1972.23;1972.23;0
40020502;41.6;34.54;1436.86;1436.86;0
40069102;32.5;34.54;1122.55;1122.55;0
40069214;57.9;34.54;1999.87;1999.87;0
40069634;69.1;44.79;3094.99;3094.99;0
40069924;49.3;34.54;1702.82;1702.82;0
40068691;30.3;34.54;1046.56;1046.56;0
40069969;49.0;34.54;1692.46;1692.46;0
40020617;51.8;34.54;1789.17;1789.17;0
40068740;43.4;34.54;1499.04;1499.04;0
40069479;48.5;44.79;2172.32;2172.32;0
40036771;43.0;34.54;1485.22;1485.22;0
40010507;68.7;44.79;3077.07;3077.07;0
40069073;57.9;34.54;1999.87;1999.87;0
40069059;31.9;34.54;1101.83;1101.83;0
40069410;60.0;44.79;2687.4;2687.4;0
40068696;40.2;34.54;1388.51;1388.51;0
40068351;40.4;34.54;1395.42;1395.42;0
40069760;67.7;44.79;3032.28;3032.28;0
40069224;48.9;34.54;1689.01;1689.01;0
40069878;60.7;34.54;2096.58;2096.58;0
40010544;59.7;44.79;2673.96;2673.96;0
40068952;30.2;34.54;1043.11;1043.11;0
40070466;59.3;34.54;2048.22;2048.22;0
40068772;30.9;34.54;1067.29;1067.29;0
40069437;47.7;44.79;2136.48;2136.48;0
40068574;40.0;34.54;1381.6;1381.6;0
40020610;25.3;34.54;873.86;873.86;0
40068828;60.1;34.54;2075.85;2075.85;0
40070027;60.1;44.79;2691.88;2691.88;0
40069133;57.2;34.54;1975.69;1975.69;0
40068555;40.0;34.54;1381.6;1381.6;0
40069074;32.2;34.54;1112.19;1112.19;0
40068354;31.0;34.54;1070.74;1070.74;0
40070476;44.7;34.54;1543.94;1543.94;0
40068263;50.5;44.79;2261.9;2261.9;0
40069754;37.7;44.79;1688.58;1688.58;0
40069157;33.0;34.54;1139.82;1139.82;0
40069690;69.2;44.79;3099.47;3099.47;0
40036790;61.1;44.79;2736.67;2736.67;0
40069469;60.1;44.79;2691.88;2691.88;0
40068709;44.2;34.54;1526.67;1526.67;0
40068973;29.9;34.54;1032.75;1032.75;0
40068724;45.1;34.54;1557.75;1557.75;0
40068756;41.0;34.54;1416.14;1416.14;0
40068373;40.3;34.54;1391.96;1391.96;0
40068377;40.5;34.54;1398.87;1398.87;0
40068379;31.1;34.54;1074.19;1074.19;0
40069020;38.7;34.54;1336.7;1336.7;0
40069744;68.5;44.79;3068.12;3068.12;0
40070596;16.5;44.79;739.04;739.04;0
40010608;32.6;44.79;1460.15;1460.15;0
40010649;32.6;44.79;1460.15;1460.15;0
40068141;80.3;30.86;2478.06;2478.06;0
40036827;39.9;34.54;1378.15;1378.15;0
40070557;93.2;33.67;3138.04;3138.04;0
