,Пример заполнения таблицы: https://docs.google.com/spreadsheets/d/1QFB43_fKhlx6u7UZltND15B_o4WQK20SJV1fioVPwjM/edit?pli=1&gid=0#gid=0,,,,,,,,,
,Отопление ,,,Холодное водоснобжение ,Горячее водоснабжение ,,ТКО,,,
ОУСР,Норматив энергия,Норматив с площади,Отопление электроэнергией,Норматив метр куб,Норматив метр куб,Норматив энергия при 2х компонентной воде,с человека,с площади,куб. метры,
Окружное управление социального развития №1,"Постановление администрации городского округа Балашиха МО от 30.11.2009 N 952/1-ПА(ред. от 30.11.2010)
""Об установлении тарифов и размера платы за жилищно-коммунальные услуги в городском округе Балашиха""
               
1. Отопление                                                                     
1.1. Жилые дома до 1958 года постройки             0,0165         Гкал/ кв. м      
1.2. Жилые дома после 1958 года постройки с наружным строительным объемом здания   до 14000 куб. м включительно                0,0146         Гкал/ кв. м      
1.3. Жилые дома после 1958 года постройки с наружным строительным объемом здания  от 14000 куб. м до 35000 куб. м включительно              0,0149         Гкал/ кв. м      
1.4. Жилые дома после 1958 года постройки с наружным строительным объемом здания свыше 35000 куб. м           0,0133         Гкал/ кв. м      
1.5. Жилые дома с общими душевыми, с душами при всех комнатах, с общими кухнями и блоками душевых на этажах при жилых комнатах в каждой секции и местами общего пользования свыше 20 процентов от общей площади здания          0,0204         Гкал/ кв. м 


Постановление главы города Реутов Московской области от 27.11.2009 №578-П «Об установлении размера платы за жилое помещение и коммунальные услуги на 2010 год»                
Отопление        0,016         Гкал/ кв. м общей площади
    
","Закон Московской области от 22.10.2009 N 120/2009-ОЗ (ред. от 04.07.2024) ""О стандарте нормативной площади жилого помещения для предоставления субсидий и оказания мер социальной поддержки отдельным категориям граждан по оплате жилого помещения и коммунальных услуг на территории Московской области"" (принят постановлением Мособлдумы от 15.10.2009 N 3/92-П)

Для одиноко проживающих граждан размер стандарта в размере 
42 кв. метров общей площади жилого помещения,
21 кв. метра - на каждого члена семьи, состоящей из двух человек,
18 кв. метров - на каждого члена семьи, состоящей из трех и более человек, 
но не более фактического размера занимаемой ими общей площади жилого помещения.",Нет НПА,"Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.10.2020 № 386-РВ ""Об утверждении нормативов потребления коммунальных услуг по холодному (горячему) водоснабжению, водоотведению в жилых помещениях на территории Московской области""
1        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами сидячими длиной 1200 мм с душем        4,24
2        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1500-1550 мм с душем        4,29
3        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1650-1700 мм с душем        4,33
4        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами без душа        3,02
5        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, душем        3,79
6        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами сидячими длиной 1200 мм с душем        7,36
7        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1500-1550 мм с душем        7,46
8        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1650-1700 мм с душем        7,56
9        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами без душа        7,16
10        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами        6,36
11        Многоквартирные и жилые дома без водонагревателей с водопроводом и канализацией, оборудованные раковинами, мойками и унитазами        3,86
12        Многоквартирные и жилые дома без водонагревателей с централизованным холодным водоснабжением и водоотведением, оборудованные раковинами и мойками        3,15
13.1        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами сидячими длиной 1200 мм, душами        5,22
13.2        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1500-1550 мм, душами        5,32
13.3        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1650-1700 мм, душами        5,42
13.4        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами без душа        2,52
14        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами        1,72
15        Многоквартирные и жилые дома с водоразборной колонкой        1,22
16        Дома, использующиеся в качестве общежитий, оборудованные мойками, раковинами, унитазами, с душевыми с централизованным холодным и горячим водоснабжением, водоотведением        3,01
17        Многоквартирные и жилые дома с централизованным холодным водоснабжением, оборудованные умывальниками, мойками        1,01
18        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками        2,66
19        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением, оборудованные унитазами, мойками        1,72
20        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением с водонагревателями, оборудованные умывальниками, мойками, унитазами        1,72
21        Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, с водонагревателями, оборудованные мойками, раковинами, унитазами, с душевыми        4,88
22        Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, оборудованные мойками, раковинами, унитазами        3,18
","Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.10.2020 № 386-РВ ""Об утверждении нормативов потребления коммунальных услуг по холодному (горячему) водоснабжению, водоотведению в жилых помещениях на территории Московской области""
1        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами сидячими длиной 1200 мм с душем        3,12
2        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1500-1550 мм с душем        3,17
3        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1650-1700 мм с душем        3,23
4        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами без душа        1,64
5        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, душем        2,57
6        Дома, использующиеся в качестве общежитий, оборудованные мойками, раковинами, унитазами, с душевыми с централизованным холодным и горячим водоснабжением, водоотведением        1,87
7        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками        1,20
","Распоряжение Министерства ЖКХ МО от 20.06.2019 N 332-РВ
""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению, на территории городского округа Балашиха Московской области""            
        Без наружной сети горячего водоснабжения                
1.        С изолированными стояками                
1.1.        С полотенцесушителями        0,0599        Гкал на 1 куб. м
1.2.        Без полотенцесушителей        0,0549        Гкал на 1 куб. м
2.        С неизолированными стояками                
2.1.        С полотенцесушителями        0,0649        Гкал на 1 куб. м
2.2.        Без полотенцесушителей        0,0599        Гкал на 1 куб. м

Распоряжение Министерства ЖКХ МО от 20.10.2020 N 379-РВ
""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению, на территории городского округа Реутов Московской области""
                
        Без наружной сети горячего водоснабжения                
1.        С неизолированными стояками                
1.1.        С полотенцесушителями        0,0649        Гкал на 1 куб. м
1.2.        Без полотенцесушителей        0,0600        Гкал на 1 куб. м

",-,"Распоряжение Министерства ЖКХ МО от 20.09.2021 N 431-РВ (ред. от 28.12.2024) ""Об утверждении нормативов накопления твердых коммунальных отходов на территории Московской области""                        
Домовладения, годовой норматив накопления отходов:                        
1. Многоквартирные дома: твердые коммунальные отходы, за исключением крупногабаритных отходов        1 кв. метр общей площади        0,086         м3
2. Многоквартирные дома: крупногабаритные отходы        1 кв. метр общей площади        0,028         м3


Распоряжение Министерства ЖКХ МО от 20.12.2019 N 735-РВ (ред. от 04.09.2023) ""Об утверждении нормативов накопления твердых коммунальных отходов для индивидуальных жилых домов на территории Московской области""                                
№        Наименование категории объектов                Площадь ИЖД, кв. м        Норматив, куб. м/кв. м        Включая КГО, куб. м/кв. м
Домовладения: 
                               
1        ИЖД        1 кв. м. площади        до 50        0,1140        0,0270
2        ИЖД        1 кв. м. площади        от 51 до 100          0,1140        0,0270
3        ИЖД        1 кв. м. площади        от 101 до 150        0,1000        0,0237
4        ИЖД        1 кв. м. площади        от 151 до 250        0,0753        0,0178
5        ИЖД        1 кв. м. площади        от 251 до 350        0,0566        0,0134
6        ИЖД        1 кв. м. площади        от 351 до 450        0,0426        0,0101
7        ИЖД        1 кв. м. площади        от 451 до 500        0,0320        0,0076
8        ИЖД        1 кв. м. площади        от 501 и более      0,0248        0,0059
",-,
Окружное управление социального развития №2,"1. Постановление Главы администрации Истринского района от 25.07.1994 № 1455/14. «О переходе на новую систему оплаты жилья и коммунальных услуг и порядке предоставления гражданам жилищных субсидий».
0,016 Гкал на 1 кв.м. общей площади в месяц.

2. Решение Совета депутатов городского округа Краснознаменск Московской области от 23.03.2010 № 107/6. «Об утверждении нормативов потребления коммунальных услуг для населения, проживающего в жилых помещениях, не оборудованных индивидуальными приборами учёта, применяемых для определения размера платы за коммунальные услуги на территории городского округа Краснознаменск Московской области».
Многоквартирные дома и общежития квартирного типа годом постройки до 1999 года включительно:
до 5 этажей включительно-0,0129 Гкал/кв.м
свыше 5 до 12 этажей включительно-0,0126 Гкал/кв.м
свыше 12 этажей-0,0130 Гкал/кв.м
Многоквартирные дома годом постройки после 1999 г. этажностью:
до 4 этажей включительно-0,0080 Гкал/кв.м
свыше 10 этажей-0,0090 Гкал/кв.м
Общежитиея коридорного типа-0,0130 Гкал/кв.м.

3. Решение Совета депутатов городского поселения Одинцово Одинцовского муниципального района Московской области от 22.12.2010 № 4/15. «Об установлении с 1 января 2011 года порядка определения размера платы граждан за предоставленные жилищно-коммунальные услуги». 
0,02 Гкал на 1 кв.м. общей площади в месяц.

4. Решение Совета депутатов городского округа Власиха Московской области от 24 ноября 2010 года №24/91. «Об установлении с 1 января 2011 года порядка определения размера оплаты граждан за предоставленные коммунальные услуги». 
0,02 Гкал на 1 кв.м. общей площади в месяц.

5. Решение Совета депутатов городского округа Восход Московской области от 19 ноября 2009 года №15/3. «Об утверждении предельной платы населения городского округа Восход на содержание, ремонт жилья и коммунальные услуги на 2010 год».
0,013 Гкал на 1 кв.м. общей площади в месяц.",,"п.3, 4, 5 Распоряжения Министерства жилищно-коммунального хозяйства Московской области от 20.12.2019 №736-РВ ""Об утверждении нормативов потребления коммунальной услуги по электроснабжению в индивидуальных жилых домах""   
                                        кВтч в месяц на человека                                                                                                                                                                                                  
3. Индивидуальные жилые дома, не оборудованные стационарными электроплитами, но оборудованные в установленном порядке электроотопительными и (или) электронагревательными установками для целей горячего водоснабжения, в отопительный период
Кол-во комнат /  кол-во человек, проживающих в помещении
                             1            2            3             4           5 и более
1                         334        207        160        130        113
2                         431        267        207        168        146
3                         487        302        234        190        166
4 и более           527        327        253        206        179
4. Индивидуальные жилые дома, не оборудованные стационарными электроплитами, но оборудованные в установленном порядке электроотопительными и (или) электронагревательными установками для целей горячего водоснабжения, вне отопительного периода                                                                                                             1                         231        143        111         90           79
2                         298        185        143        116        101
3                         338        209        162        132        115
4 и более           365        227        175        143        124
5. Индивидуальные жилые дома, оборудованные в установленном порядке стационарными электроплитами, электроотопительными и (или) электронагревательными установками для целей горячего водоснабжения                                                                                                                                                                       1                         342        212        164        133        116
2                         404        250        194        157        137                                                                                                                                                                                                              3                         441        274        212        172        150
4 и более           469        291        225        183        159
","Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.10.2020 № 386-РВ ""Об утверждении нормативов потребления коммунальных услуг по холодному (горячему) водоснабжению, водоотведению в жилых помещениях на территории Московской области""
1        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами сидячими длиной 1200 мм с душем        куб. метр в месяц на человека        4,24
2        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1500-1550 мм с душем        куб. метр в месяц на человека        4,29
3        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1650-1700 мм с душем        куб. метр в месяц на человека        4,33
4        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами без душа        куб. метр в месяц на человека        3,02
5        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, душем        куб. метр в месяц на человека        3,79
6        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами сидячими длиной 1200 мм с душем        куб. метр в месяц на человека        7,36
7        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1500-1550 мм с душем        куб. метр в месяц на человека        7,46
8        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1650-1700 мм с душем        куб. метр в месяц на человека        7,56
9        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами без душа        куб. метр в месяц на человека        7,16
10        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами        куб. метр в месяц на человека        6,36
11        Многоквартирные и жилые дома без водонагревателей с водопроводом и канализацией, оборудованные раковинами, мойками и унитазами        куб. метр в месяц на человека        3,86
12        Многоквартирные и жилые дома без водонагревателей с централизованным холодным водоснабжением и водоотведением, оборудованные раковинами и мойками        куб. метр в месяц на человека        3,15
13.1        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами сидячими длиной 1200 мм, душами        куб. метр в месяц на человека        5,22
13.2        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1500-1550 мм, душами        куб. метр в месяц на человека        5,32
13.3        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1650-1700 мм, душами        куб. метр в месяц на человека        5,42
13.4        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами без душа        куб. метр в месяц на человека        2,52
14        Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами        куб. метр в месяц на человека        1,72
15        Многоквартирные и жилые дома с водоразборной колонкой        куб. метр в месяц на человека        1,22
16        Дома, использующиеся в качестве общежитий, оборудованные мойками, раковинами, унитазами, с душевыми с централизованным холодным и горячим водоснабжением, водоотведением        куб. метр в месяц на человека        3,01
17        Многоквартирные и жилые дома с централизованным холодным водоснабжением, оборудованные умывальниками, мойками        куб. метр в месяц на человека        1,01
18        Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками        куб. метр в месяц на человека        2,66
19        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением, оборудованные унитазами, мойками        куб. метр в месяц на человека        1,72
20        Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением с водонагревателями, оборудованные умывальниками, мойками, унитазами        куб. метр в месяц на человека        1,72
21        Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, с водонагревателями, оборудованные мойками, раковинами, унитазами, с душевыми        куб. метр в месяц на человека        4,88
22        Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, оборудованные мойками, раковинами, унитазами        куб. метр в месяц на человека        3,18
","Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.10.2020 № 386-РВ ""Об утверждении нормативов потребления коммунальных услуг по холодному (горячему) водоснабжению, водоотведению в жилых помещениях на территории Московской области""
1	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами сидячими длиной 1200 мм с душем	куб. метр в месяц на человека	3,12
2	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1500-1550 мм с душем	куб. метр в месяц на человека	3,17
3	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами длиной 1650-1700 мм с душем	куб. метр в месяц на человека	3,23
4	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, ваннами без душа	куб. метр в месяц на человека	1,64
5	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками, душем	куб. метр в месяц на человека	2,57
6	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами сидячими длиной 1200 мм с душем	куб. метр в месяц на человека	x
7	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1500-1550 мм с душем	куб. метр в месяц на человека	x
8	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами длиной 1650-1700 мм с душем	куб. метр в месяц на человека	x
9	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами и ваннами без душа	куб. метр в месяц на человека	x
10	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водонагревателями, водоотведением, оборудованные унитазами, раковинами, мойками, душами	куб. метр в месяц на человека	x
11	Многоквартирные и жилые дома без водонагревателей с водопроводом и канализацией, оборудованные раковинами, мойками и унитазами	куб. метр в месяц на человека	x
12	Многоквартирные и жилые дома без водонагревателей с централизованным холодным водоснабжением и водоотведением, оборудованные раковинами и мойками	куб. метр в месяц на человека	x
13.1	Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами сидячими длиной 1200 мм, душами	куб. метр в месяц на человека	x
13.2	Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1500-1550 мм, душами	куб. метр в месяц на человека	x
13.3	Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами длиной 1650-1700 мм, душами	куб. метр в месяц на человека	x
13.4	Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами, ваннами без душа	куб. метр в месяц на человека	x
14	Многоквартирные и жилые дома с централизованным холодным водоснабжением, без централизованного водоотведения, оборудованные умывальниками, мойками, унитазами	куб. метр в месяц на человека	x
15	Многоквартирные и жилые дома с водоразборной колонкой	куб. метр в месяц на человека	x
16	Дома, использующиеся в качестве общежитий, оборудованные мойками, раковинами, унитазами, с душевыми с централизованным холодным и горячим водоснабжением, водоотведением	куб. метр в месяц на человека	1,87
17	Многоквартирные и жилые дома с централизованным холодным водоснабжением, оборудованные умывальниками, мойками	куб. метр в месяц на человека	x
18	Многоквартирные и жилые дома с централизованным холодным и горячим водоснабжением, водоотведением, оборудованные унитазами, раковинами, мойками	куб. метр в месяц на человека	1,20
19	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением, оборудованные унитазами, мойками	куб. метр в месяц на человека	x
20	Многоквартирные и жилые дома с централизованным холодным водоснабжением, водоотведением с водонагревателями, оборудованные умывальниками, мойками, унитазами	куб. метр в месяц на человека	x
21	Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, с водонагревателями, оборудованные мойками, раковинами, унитазами, с душевыми	куб. метр в месяц на человека	x
22	Дома, использующиеся в качестве общежитий, с централизованным холодным водоснабжением и водоотведением, оборудованные мойками, раковинами, унитазами	куб. метр в месяц на человека	x
","1. (Одинцовский г.о., г.о. Восход) Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 07.11.2019 № 624-РВ ""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению"" 
         Одинцовский г.о.
Без наружной сети горячего водоснабжения
1. С изолированными стояками
1.1. С полотенцесушителями
Гкал на 1 куб. м 0,0599
2. С неизолированными стояками
2.1. С полотенцесушителями
Гкал на 1 куб. м 0,0648
2.2. Без полотенцесушителей
Гкал на 1 куб. м 0,0599
             г.о. Восход
Без наружной сети горячего водоснабжения
1. С неизолированными стояками
1.1. С полотенцесушителями
Гкал на 1 куб. м 0,0648

2. (м.о. Истра) Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.07.2017 №127-РВ ""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению, на территроии городского округа Истра Московской области"" 
С изолированными стояками
 1.1.С полотенцесушителями
Гкал на 1 куб. м 0,0599
1.2. Без полотенцесушителей
Гкал на 1 куб. м 0,0549
2. С неизолированными стояками
 2.1. С полотенцесушителями
Гкал на 1 куб. м 0,0649
2.2. Без полотенцесушителей
Гкал на 1 куб. м 0,0599
 
3. (г.о. Краснознаменск) Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 21.10.2020 № 397-РВ ""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению, на территории городского округа Краснознаменск Московской области"" 
Без наружной сети горячего водоснабжения
1. С неизолированными стояками
1.1. С полотенцесушителями
Гкал на 1 куб. м 0,0648

4. (г.о. Власиха) Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 21.10.2020 № 397-РВ ""Об утверждении нормативов расхода тепловой энергии, используемой на подогрев холодной воды в целях предоставления коммунальной услуги по горячему водоснабжению, на территории городского округа Власиха Московской области""
Без наружной сети горячего водоснабжения
1. С изолированными стояками
1.1.С полотенцесушителями
Гкал на 1 куб. м 0,0602
2. С неизолированными стояками
2.1.С полотенцесушителями
Гкал на 1 куб. м 0,0624
2.2. Без полотенцесушителей
Гкал на 1 куб. м 0,0602

  ",,"Распоряжение Министерства жилищно-коммунального хозяйства Московской области от 20.09.2021 №431-РВ ""Об утверждении нормативов накопления твёрдых коммунальных отходов на территории Московской области""                                                                                              2.1.     Многоквартирные дома: твердые коммунальные отходы, за исключением крупногабаритных отходов
1 кв. метр общей площади            0,086 куб.м в год
2.2.     Многоквартирные дома: крупногабаритные отходы
1 кв. метр общей площади             0,028 куб.м в год
",,
