Норматив отопления;Норматив отопления элек;Норматив ХВ;Норматив ГВ;Норматив ГВ энергия;Норматив ТКО;Норматив ТКО общ;Норматив ТКО площадь;Норматив ТКО кбм
0.0165;334.0;4.24;3.12;0.0599;0.165;0.086;0.114;0.086
0.0146;207.0;4.29;3.17;0.0549;;0.028;0.114;0.086
0.0149;160.0;4.33;3.23;0.0649;;0.114;0.1;0.086
0.0133;130.0;3.02;1.64;0.0599;;0.027;0.0753;
0.0204;113.0;3.79;2.57;0.0649;;0.114;0.0566;
0.016;431.0;7.36;1.87;0.06;;0.027;0.0426;
0.016;267.0;7.46;1.2;0.0599;;0.1;0.032;
0.0129;207.0;7.56;3.12;0.0648;;0.0237;0.0248;
0.0126;168.0;7.16;3.17;0.0599;;0.0753;0.114;
0.013;146.0;6.36;3.23;0.0648;;0.0178;0.114;
0.008;487.0;3.86;1.64;0.0599;;0.0566;0.1;
0.009;302.0;3.15;2.57;0.0549;;0.0134;0.0753;
0.013;234.0;5.22;1.87;0.0649;;0.0426;0.0566;
0.02;190.0;5.32;1.2;0.0599;;0.0101;0.0426;
0.02;166.0;5.42;3.12;0.0648;;0.032;0.032;
0.013;527.0;2.52;3.17;0.0602;;0.0076;0.0248;
0.01568;327.0;1.72;3.23;0.0624;;0.0248;0.114;
0.01543;253.0;1.22;1.64;0.0602;;0.0059;0.114;
0.01556;206.0;3.01;2.57;3.12;;0.086;0.1;
0.01536;179.0;1.01;1.87;3.17;;0.028;0.0753;
0.01563;298.0;2.66;1.2;3.23;;0.086;0.0566;
0.01542;185.0;1.72;3.12;1.64;;0.028;0.0426;
0.01525;143.0;1.72;3.17;2.57;;0.086;0.032;
0.0153;116.0;4.88;3.23;1.87;;0.028;0.0248;
0.01529;101.0;3.18;1.64;1.2;;0.086;0.114;
0.01527;338.0;4.24;2.57;0.0639;;0.086;0.114;
0.01526;209.0;4.29;1.87;0.0599;;0.028;0.1;
0.015;162.0;4.33;1.2;0.0639;;0.114;0.0753;
0.0158;132.0;3.02;3.17;0.0599;;0.027;0.0566;
0.027143;115.0;3.79;3.23;0.0599;;0.114;0.0426;
0.017;365.0;7.36;2.57;0.0549;;0.027;0.032;
0.023;227.0;7.46;1.72;0.0649;;0.1;0.0248;
0.017;175.0;7.56;1.87;0.0599;;0.0237;0.114;
0.0501;143.0;7.16;3.12;0.0648;;0.0753;0.114;
0.0466;124.0;6.36;3.17;0.0599;;0.0178;0.1;
0.0289;469.0;3.86;3.23;0.0624;;0.0566;0.0753;
0.0237;291.0;3.15;1.64;0.0574;;0.0134;0.0566;
0.0248;225.0;5.22;2.57;0.0639;;0.0426;0.0426;
0.0251;183.0;5.32;1.87;0.0599;;0.0101;0.032;
0.0261;159.0;5.42;1.2;0.0639;;0.032;0.0248;
0.019;334.0;2.52;3.17;0.0599;;0.0076;0.114;
0.0158;207.0;1.72;3.23;0.0624;;0.0248;0.114;
0.0157;160.0;1.22;3.12;0.06;;0.0059;0.1;
0.0135;130.0;3.01;3.17;0.0649;;0.086;0.0753;
0.0126;113.0;1.01;3.23;0.0649;;0.028;0.0566;
0.0122;431.0;2.66;1.64;0.0599;;0.114;0.0426;
0.0121;267.0;1.72;2.57;0.0599;;0.027;0.032;
0.0115;207.0;1.72;1.87;0.0684;;0.114;0.0248;
0.0114;168.0;4.88;1.2;0.0684;;0.027;0.114;
0.0113;146.0;3.18;3.17;0.0652;;0.1;0.114;
0.021;487.0;4.24;3.23;0.0648;;0.0237;0.1;
0.0163;302.0;4.29;3.23;0.06;;0.0753;0.0753;
0.0263;234.0;4.33;1.87;0.0648;;0.0178;0.0566;
0.017;190.0;3.02;3.12;0.06;;0.0566;0.0426;
0.01657;166.0;3.79;3.17;0.0648;;0.0134;0.032;
0.0175;527.0;7.36;3.23;0.06;;0.0426;0.0248;
0.017;327.0;7.46;1.64;0.0648;;0.0101;;
0.01596;253.0;7.56;2.57;0.0602;;0.032;;
0.089;206.0;7.16;1.87;0.0648;;0.0076;;
0.019;179.0;6.36;1.2;0.06;;0.0248;;
0.0185;298.0;3.86;3.17;0.0648;;0.0059;;
0.02;185.0;3.15;3.23;0.06;;0.086;;
0.036;143.0;5.22;2.57;0.0649;;0.028;;
0.021;116.0;5.32;1.72;0.0599;;0.086;;
0.029;101.0;5.42;1.87;0.06;;0.028;;
0.027;338.0;2.52;3.17;0.055;;0.114;;
0.0167;209.0;1.72;3.23;0.0624;;0.027;;
0.0139;162.0;1.22;2.57;0.06;;0.114;;
0.0133;132.0;3.01;1.72;0.0599;;0.027;;
0.0066;115.0;1.01;1.87;0.0549;;0.1;;
0.0062;365.0;2.66;3.17;0.0599;;0.0237;;
0.0151;227.0;1.72;3.23;0.0599;;0.0753;;
0.0162;175.0;1.72;3.17;0.0648;;0.0178;;
0.017;143.0;4.88;3.23;0.0602;;0.0566;;
0.2;124.0;3.18;2.57;0.0648;;0.0134;;
0.029;469.0;4.24;1.72;0.06;;0.0426;;
0.2;291.0;4.29;1.87;0.0651;;0.0101;;
0.02842;225.0;4.33;3.12;0.06;;0.032;;
0.0335;183.0;3.02;3.17;0.06;;0.0076;;
0.0212;159.0;3.79;3.23;0.0648;;0.0248;;
0.0227;334.0;7.36;1.64;0.06;;0.0059;;
0.0195;207.0;7.46;2.57;0.0672;;0.086;;
0.0124;160.0;7.56;1.87;0.062;;0.114;;
0.0132;130.0;7.16;1.2;0.0648;;0.027;;
0.0192;113.0;6.36;;0.06;;0.114;;
0.0144;431.0;3.86;;0.0599;;0.027;;
0.0139;267.0;3.15;;0.0648;;0.1;;
0.0112;207.0;5.22;;0.0599;;0.0237;;
0.0084;168.0;5.32;;0.0648;;0.0753;;
0.0081;146.0;5.42;;0.0599;;0.0178;;
0.0317;487.0;2.52;;0.0648;;0.0566;;
0.018;302.0;1.72;;0.0603;;0.0134;;
0.0343;234.0;1.22;;0.0603;;0.0426;;
0.0342;190.0;3.01;;0.0624;;0.0101;;
0.0341;166.0;1.01;;0.0624;;0.032;;
0.0333;527.0;2.66;;0.0599;;0.0076;;
