Норматив отопления,Норматив отопления элек (Комнаты - Человек - Значение),Норматив ХВ,Норматив ГВ,Норматив ГВ энергия,Норматив ТКО,Норматив ТКО общ,Норматив ТКО площадь,Норматив ТКО кбм
"0,0165",1 - 1 - 334,"4,24","3,12","0,0599","0,165","0,086","до 50 - 0,1140","0,086"
"0,0146",1 - 2 - 207,"4,29","3,17","0,0549",,"0,028","от 51 до 100 - 0,1140","0,086"
"0,0149",1 - 3 - 160,"4,33","3,23","0,0649",,"0,1140","от 101 до 150 - 0,1000","0,086"
"0,0133",1 - 4 - 130,"3,02","1,64","0,0599",,"0,0270","от 151 до 250 - 0,0753",
"0,0204",1 - 5 - 113,"3,79","2,57","0,0649",,"0,1140","от 251 до 350 - 0,0566",
"0,016",2 - 1 - 431,"7,36","1,87","0,0600",,"0,0270","от 351 до 450 - 0,0426",
"0,016",2 - 2 - 267,"7,46","1,20","0,0599",,"0,1000","от 451 до 500 - 0,0320",
"0,0129",2 - 3 - 207,"7,56","3,12","0,0648",,"0,0237","от 501 и более - 0,0248",
"0,0126",2 - 4 - 168,"7,16","3,17","0,0599",,"0,0753","до 50 - 0,1140",
"0,0130",2 - 5 - 146,"6,36","3,23","0,0648",,"0,0178","от 51 до 100 - 0,1140",
"0,0080",3 - 1 - 487,"3,86","1,64","0,0599",,"0,0566","от 101 до 150 - 0,1000",
"0,0090",3 - 2 - 302,"3,15","2,57","0,0549",,"0,0134","от 151 до 250 - 0,0753",
"0,0130",3 - 3 - 234,"5,22","1,87","0,0649",,"0,0426","от 251 до 350 - 0,0566",
"0,02",3 - 4 - 190,"5,32","1,20","0,0599",,"0,0101","от 351 до 450 - 0,0426",
"0,02",3 - 5 - 166,"5,42","3,12","0,0648",,"0,0320","от 451 до 500 - 0,0320",
"0,013",4 и более - 1 - 527,"2,52","3,17","0,0602",,"0,0076","от 501 и более - 0,0248",
"0,01568",4 и более - 2 - 327,"1,72","3,23","0,0624",,"0,0248","до 50 - 0,1140",
"0,01543",4 и более - 3 - 253,"1,22","1,64","0,0602",,"0,0059","от 51 до 100 - 0,1140",
"0,01556",4 и более - 4 - 206,"3,01","2,57","3,12",,"0,086","от 101 до 150 - 0,1000",
